date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"白色"	null	49.4	82
085年04月01日	"台北一"	"白色"	null	45.0	1110
085年04月01日	"台中市"	"白色"	null	38.6	68
085年04月01日	"台北二"	"青色"	null	30.0	13
085年04月01日	"台北一"	"青色"	null	45.0	19
085年04月01日	"高雄市"	"青色"	null	40.0	270
085年04月02日	"台北二"	"白色"	null	30.0	171
085年04月02日	"台北一"	"白色"	null	45.0	1965
085年04月02日	"台中市"	"白色"	null	50.1	82
085年04月02日	"台北二"	"青色"	null	35.0	8
085年04月02日	"高雄市"	"青色"	null	36.0	160
085年04月03日	"台北二"	"白色"	null	47.5	129
085年04月03日	"台北一"	"白色"	null	45.0	875
085年04月03日	"台中市"	"白色"	null	39.2	34
085年04月03日	"台北一"	"青色"	null	45.0	39
085年04月03日	"高雄市"	"青色"	null	57.0	100
085年04月04日	"台中市"	"白色"	null	40.0	6
085年04月04日	"高雄市"	"青色"	null	63.0	100
085年04月06日	"台北二"	"白色"	null	51.2	221
085年04月06日	"台北一"	"白色"	null	45.0	989
085年04月06日	"台中市"	"白色"	null	20.2	34
085年04月07日	"台北一"	"白色"	null	45.0	415
085年04月07日	"台中市"	"白色"	null	38.6	48
085年04月07日	"台北二"	"青色"	null	60.0	80
085年04月07日	"高雄市"	"青色"	null	60.0	50
085年04月08日	"台北二"	"白色"	null	55.0	213
085年04月08日	"台北一"	"白色"	null	45.0	1280
085年04月08日	"台中市"	"白色"	null	60.0	2
085年04月08日	"台北一"	"青色"	null	45.0	22
085年04月08日	"高雄市"	"青色"	null	70.0	50
085年04月09日	"台北二"	"白色"	null	58.6	297
085年04月09日	"台北一"	"白色"	null	45.0	2124
085年04月09日	"台中市"	"白色"	null	40.1	120
085年04月09日	"高雄市"	"青色"	null	58.0	100
085年04月10日	"台北二"	"白色"	null	50.0	384
085年04月10日	"台北一"	"白色"	null	45.0	2703
085年04月10日	"台中市"	"白色"	null	40.4	175
085年04月10日	"台北一"	"青色"	null	45.0	165
085年04月10日	"高雄市"	"青色"	null	65.0	150
085年04月11日	"台北二"	"白色"	null	45.0	432
085年04月11日	"台北一"	"白色"	null	45.0	3296
085年04月11日	"台中市"	"白色"	null	49.1	206
085年04月11日	"台北一"	"青色"	null	41.9	48
085年04月11日	"高雄市"	"青色"	null	60.0	150
085年04月12日	"台中市"	"白色"	null	33.8	186
085年04月12日	"高雄市"	"青色"	null	67.0	150
085年04月13日	"台北一"	"白色"	null	45.0	2390
085年04月13日	"台中市"	"白色"	null	29.4	444
085年04月13日	"台北一"	"青色"	null	45.0	206
085年04月13日	"高雄市"	"青色"	null	59.0	150
085年04月14日	"台北一"	"白色"	null	45.0	2096
085年04月14日	"台中市"	"白色"	null	31.2	247
085年04月14日	"台北一"	"青色"	null	45.0	107
085年04月14日	"高雄市"	"青色"	null	50.0	150
085年04月15日	"台北二"	"白色"	null	57.9	228
085年04月15日	"台北一"	"白色"	null	45.0	2211
085年04月15日	"台中市"	"白色"	null	30.8	267
085年04月15日	"台北一"	"青色"	null	45.0	142
085年04月15日	"高雄市"	"青色"	null	58.0	190
085年04月16日	"台北二"	"白色"	null	40.0	306
085年04月16日	"台北一"	"白色"	null	45.0	2820
085年04月16日	"台中市"	"白色"	null	36.2	403
085年04月16日	"台北一"	"青色"	null	35.0	106
085年04月16日	"高雄市"	"青色"	null	45.0	250
085年04月16日	"台北一"	"紅色"	null	45.8	39
085年04月17日	"台北二"	"白色"	null	60.3	322
085年04月17日	"台北一"	"白色"	null	45.0	4290
085年04月17日	"台中市"	"白色"	null	37.8	357
085年04月17日	"高雄市"	"青色"	null	53.0	200
085年04月18日	"台北二"	"白色"	null	55.7	378
085年04月18日	"台北一"	"白色"	null	45.0	5528
085年04月18日	"台中市"	"白色"	null	33.3	892
085年04月18日	"台北二"	"青色"	null	44.7	63
085年04月18日	"台北一"	"青色"	null	35.0	30
085年04月18日	"高雄市"	"青色"	null	49.0	439
085年04月19日	"台北二"	"白色"	null	53.7	308
085年04月19日	"台北一"	"白色"	null	45.0	5676
085年04月19日	"台中市"	"白色"	null	28.7	793
085年04月19日	"台北二"	"青色"	null	33.4	203
085年04月19日	"台北一"	"青色"	null	45.0	65
085年04月19日	"高雄市"	"青色"	null	47.0	470
085年04月21日	"台北二"	"白色"	null	48.8	477
085年04月21日	"台北一"	"白色"	null	45.0	3944
085年04月21日	"台中市"	"白色"	null	30.0	572
085年04月21日	"台北一"	"青色"	null	45.0	178
085年04月21日	"西螺鎮"	"青色"	null	17.9	590
085年04月21日	"高雄市"	"青色"	null	54.0	240
085年04月22日	"台北二"	"白色"	null	54.4	242
085年04月22日	"台北一"	"白色"	null	40.0	1998
085年04月22日	"台中市"	"白色"	null	38.3	186
085年04月22日	"台北一"	"青色"	null	40.0	49
085年04月22日	"西螺鎮"	"青色"	null	20.0	930
085年04月22日	"高雄市"	"青色"	null	69.0	130
085年04月22日	"台北一"	"紅色"	null	59.0	34
085年04月23日	"台北二"	"白色"	null	57.6	155
085年04月23日	"台北一"	"白色"	null	45.0	1383
085年04月23日	"台中市"	"白色"	null	40.0	204
085年04月23日	"台北一"	"青色"	null	46.0	54
085年04月23日	"西螺鎮"	"青色"	null	14.7	950
085年04月23日	"高雄市"	"青色"	null	53.0	260
085年04月24日	"台北二"	"白色"	null	50.0	143
085年04月24日	"台北一"	"白色"	null	50.0	1635
085年04月24日	"台中市"	"白色"	null	40.5	33
085年04月24日	"台北一"	"青色"	null	50.0	19
085年04月24日	"西螺鎮"	"青色"	null	19.2	295
085年04月24日	"高雄市"	"青色"	null	50.0	260
085年04月24日	"台北一"	"紅色"	null	60.0	30
085年04月25日	"台北二"	"白色"	null	0.0	217
085年04月25日	"台北一"	"白色"	null	50.0	2351
085年04月25日	"台中市"	"白色"	null	40.8	279
085年04月25日	"台北一"	"青色"	null	50.0	285
085年04月25日	"西螺鎮"	"青色"	null	20.0	340
085年04月25日	"高雄市"	"青色"	null	66.0	180
085年04月26日	"台北二"	"白色"	null	0.0	470
085年04月26日	"台北一"	"白色"	null	45.0	5888
085年04月26日	"台中市"	"白色"	null	44.7	469
085年04月26日	"台北二"	"青色"	null	47.0	141
085年04月26日	"台北一"	"青色"	null	52.6	136
085年04月26日	"高雄市"	"青色"	null	48.0	320
085年04月26日	"台北一"	"紅色"	null	60.0	63
085年04月27日	"台中市"	"白色"	null	34.6	1286.5
085年04月27日	"高雄市"	"青色"	null	47.0	550
085年04月28日	"台北二"	"白色"	null	0.0	458
085年04月28日	"台北一"	"白色"	null	40.0	7151
085年04月28日	"台中市"	"白色"	null	25.7	726
085年04月28日	"台北二"	"青色"	null	0.0	662
085年04月28日	"台北一"	"青色"	null	29.2	2392
085年04月28日	"西螺鎮"	"青色"	null	30.0	100
085年04月28日	"高雄市"	"青色"	null	52.0	370
085年04月28日	"台北一"	"紅色"	null	50.0	120
085年04月29日	"台北二"	"白色"	null	50.0	226
085年04月29日	"台北一"	"白色"	null	35.0	5439
085年04月29日	"台中市"	"白色"	null	24.0	412
085年04月29日	"花蓮市"	"白色"	null	62.0	80
085年04月29日	"台北二"	"青色"	null	19.7	488
085年04月29日	"台北一"	"青色"	null	28.6	1339
085年04月29日	"西螺鎮"	"青色"	null	20.0	95
085年04月29日	"高雄市"	"青色"	null	42.0	400
085年04月29日	"台北一"	"紅色"	null	30.0	11
085年04月30日	"台北二"	"白色"	null	0.0	141
085年04月30日	"台北一"	"白色"	null	35.0	2198
085年04月30日	"台中市"	"白色"	null	35.5	635
085年04月30日	"台北二"	"青色"	null	0.0	15
085年04月30日	"台北一"	"青色"	null	30.0	4604
085年04月30日	"永靖鄉"	"青色"	null	50.5	244
085年04月30日	"高雄市"	"青色"	null	41.0	450
085年04月30日	"台北一"	"紅色"	null	35.0	111
086年04月01日	"台北二"	"白色"	null	11.9	564
086年04月01日	"台北一"	"白色"	null	15.0	4546
086年04月01日	"台中市"	"白色"	null	25.0	284.5
086年04月01日	"高雄市"	"白色"	null	34.9	300
086年04月01日	"台北一"	"青色"	null	15.0	60
086年04月01日	"高雄市"	"青色"	null	44.4	150
086年04月02日	"台北二"	"白色"	null	10.0	430
086年04月02日	"台北一"	"白色"	null	15.0	3948
086年04月02日	"台中市"	"白色"	null	26.1	214
086年04月02日	"高雄市"	"白色"	null	20.0	40
086年04月02日	"台北二"	"青色"	null	20.0	60
086年04月02日	"台北一"	"青色"	null	15.0	70
086年04月02日	"高雄市"	"青色"	null	43.8	400
086年04月03日	"台北二"	"白色"	null	15.0	656
086年04月03日	"台北一"	"白色"	null	15.0	5762
086年04月03日	"台中市"	"白色"	null	24.1	657.5
086年04月03日	"高雄市"	"白色"	null	33.3	270
086年04月03日	"台北二"	"青色"	null	15.0	60
086年04月03日	"台北一"	"青色"	null	18.0	204
086年04月03日	"高雄市"	"青色"	null	44.4	150
086年04月04日	"台北二"	"白色"	null	15.0	909
086年04月04日	"台北一"	"白色"	null	15.0	6472
086年04月04日	"台中市"	"白色"	null	25.0	555
086年04月04日	"高雄市"	"白色"	null	35.0	320
086年04月04日	"台北一"	"青色"	null	18.0	454
086年04月04日	"高雄市"	"青色"	null	44.4	150
086年04月05日	"台中市"	"白色"	null	17.8	1388
086年04月05日	"屏東市"	"白色"	null	22.2	930
086年04月05日	"高雄市"	"青色"	null	41.0	420
086年04月06日	"屏東市"	"白色"	null	24.4	1200
086年04月07日	"台北二"	"白色"	null	15.0	820
086年04月07日	"台北一"	"白色"	null	15.0	6498
086年04月07日	"台中市"	"白色"	null	23.9	760.5
086年04月07日	"屏東市"	"白色"	null	27.4	880
086年04月07日	"台北二"	"青色"	null	7.0	1139
086年04月07日	"台北一"	"青色"	null	18.0	2352
086年04月08日	"台北二"	"白色"	null	14.4	868
086年04月08日	"台北一"	"白色"	null	16.0	4538
086年04月08日	"台中市"	"白色"	null	23.5	375
086年04月08日	"高雄市"	"白色"	null	37.1	320
086年04月08日	"屏東市"	"白色"	null	27.0	860
086年04月08日	"台北二"	"青色"	null	15.0	28
086年04月08日	"台北一"	"青色"	null	18.0	392
086年04月08日	"南投市"	"青色"	null	32.0	428
086年04月08日	"高雄市"	"青色"	null	44.2	220
086年04月09日	"台北二"	"白色"	null	13.0	552
086年04月09日	"台北一"	"白色"	null	20.0	4797
086年04月09日	"台中市"	"白色"	null	29.6	190
086年04月09日	"高雄市"	"白色"	null	25.5	212
086年04月09日	"屏東市"	"白色"	null	29.3	850
086年04月09日	"台北二"	"青色"	null	13.0	130
086年04月09日	"台北一"	"青色"	null	20.0	151
086年04月09日	"高雄市"	"青色"	null	40.0	100
086年04月10日	"台北二"	"白色"	null	10.0	646
086年04月10日	"台北一"	"白色"	null	20.0	7668
086年04月10日	"台中市"	"白色"	null	24.1	497
086年04月10日	"屏東市"	"白色"	null	25.1	820
086年04月10日	"台北二"	"青色"	null	10.0	486
086年04月10日	"台北一"	"青色"	null	20.0	1319
086年04月10日	"高雄市"	"青色"	null	28.4	570
086年04月10日	"台北一"	"紅色"	null	23.9	31
086年04月11日	"台北二"	"白色"	null	12.0	714
086年04月11日	"台北一"	"白色"	null	18.0	6663
086年04月11日	"台中市"	"白色"	null	20.6	675
086年04月11日	"屏東市"	"白色"	null	27.0	920
086年04月11日	"台北二"	"青色"	null	12.0	270
086年04月11日	"台北一"	"青色"	null	18.0	913
086年04月11日	"永靖鄉"	"青色"	null	49.0	37
086年04月11日	"高雄市"	"青色"	null	25.5	470
086年04月12日	"台北二"	"白色"	null	12.0	679
086年04月12日	"台北一"	"白色"	null	18.0	7328
086年04月12日	"高雄市"	"白色"	null	20.0	62
086年04月12日	"屏東市"	"白色"	null	24.0	1050
086年04月12日	"台北二"	"青色"	null	12.0	623
086年04月12日	"台北一"	"青色"	null	18.0	1277
086年04月12日	"永靖鄉"	"青色"	null	54.5	11
086年04月12日	"高雄市"	"青色"	null	30.2	520
086年04月13日	"台北二"	"白色"	null	18.0	542
086年04月13日	"台北一"	"白色"	null	20.0	6550
086年04月13日	"台中市"	"白色"	null	21.4	486
086年04月13日	"南投市"	"白色"	null	24.0	334
086年04月13日	"高雄市"	"白色"	null	26.7	250
086年04月13日	"屏東市"	"白色"	null	29.1	890
086年04月13日	"台北二"	"青色"	null	18.0	150
086年04月13日	"台北一"	"青色"	null	20.0	1039
086年04月13日	"永靖鄉"	"青色"	null	46.0	32
086年04月13日	"高雄市"	"青色"	null	32.1	300
086年04月13日	"台北一"	"紅色"	null	30.0	84
086年04月14日	"台北二"	"白色"	null	16.0	509
086年04月14日	"台北一"	"白色"	null	18.0	6626
086年04月14日	"台中市"	"白色"	null	16.6	849
086年04月14日	"屏東市"	"白色"	null	23.2	980
086年04月14日	"台北二"	"青色"	null	16.0	363
086年04月14日	"台北一"	"青色"	null	20.0	837
086年04月14日	"永靖鄉"	"青色"	null	49.0	147
086年04月14日	"南投市"	"青色"	null	27.0	321
086年04月14日	"高雄市"	"青色"	null	27.9	580
086年04月15日	"台北二"	"白色"	null	13.0	1077
086年04月15日	"台北一"	"白色"	null	20.0	10669
086年04月15日	"台中市"	"白色"	null	11.0	849
086年04月15日	"屏東市"	"白色"	null	23.9	1070
086年04月15日	"台北二"	"青色"	null	13.0	593
086年04月15日	"台北一"	"青色"	null	20.0	2109
086年04月15日	"永靖鄉"	"青色"	null	50.0	16
086年04月15日	"南投市"	"青色"	null	24.0	373
086年04月15日	"高雄市"	"青色"	null	28.3	500
086年04月15日	"台北二"	"紅色"	null	20.0	23
086年04月15日	"台北一"	"紅色"	null	19.9	213
086年04月16日	"台中市"	"白色"	null	13.1	1382
086年04月16日	"高雄市"	"白色"	null	30.0	50
086年04月16日	"屏東市"	"白色"	null	25.5	820
086年04月16日	"永靖鄉"	"青色"	null	45.5	108
086年04月16日	"南投市"	"青色"	null	19.0	544
086年04月16日	"高雄市"	"青色"	null	26.4	550
086年04月17日	"台北二"	"白色"	null	10.0	825
086年04月17日	"台北一"	"白色"	null	18.0	13667
086年04月17日	"台中市"	"白色"	null	12.6	1111
086年04月17日	"高雄市"	"白色"	null	25.4	380
086年04月17日	"屏東市"	"白色"	null	24.7	1020
086年04月17日	"花蓮市"	"白色"	null	30.0	90
086年04月17日	"台北二"	"青色"	null	10.0	1320
086年04月17日	"台北一"	"青色"	null	18.0	2076
086年04月17日	"永靖鄉"	"青色"	null	43.0	178
086年04月17日	"南投市"	"青色"	null	15.0	610
086年04月17日	"高雄市"	"青色"	null	23.5	400
086年04月17日	"台北一"	"紅色"	null	24.0	238
086年04月18日	"台北二"	"白色"	null	14.4	449
086年04月18日	"台北一"	"白色"	null	18.0	10123
086年04月18日	"台中市"	"白色"	null	13.2	1270
086年04月18日	"屏東市"	"白色"	null	23.4	940
086年04月18日	"台北一"	"青色"	null	15.9	2677
086年04月18日	"永靖鄉"	"青色"	null	43.5	104
086年04月18日	"南投市"	"青色"	null	8.0	476
086年04月18日	"高雄市"	"青色"	null	26.6	620
086年04月18日	"台北一"	"紅色"	null	23.3	183
086年04月19日	"台北二"	"白色"	null	12.0	890
086年04月19日	"台北一"	"白色"	null	16.0	8828
086年04月19日	"台中市"	"白色"	null	14.9	629
086年04月19日	"高雄市"	"白色"	null	30.0	100
086年04月19日	"屏東市"	"白色"	null	28.0	630
086年04月19日	"台北二"	"青色"	null	12.0	268
086年04月19日	"台北一"	"青色"	null	16.0	2350
086年04月19日	"永靖鄉"	"青色"	null	43.0	214
086年04月19日	"南投市"	"青色"	null	16.0	312
086年04月19日	"高雄市"	"青色"	null	20.8	490
086年04月19日	"台北一"	"紅色"	null	24.0	62
086年04月20日	"台北二"	"白色"	null	12.0	735
086年04月20日	"台北一"	"白色"	null	18.0	8811
086年04月20日	"台中市"	"白色"	null	18.4	379
086年04月20日	"高雄市"	"白色"	null	26.4	300
086年04月20日	"屏東市"	"白色"	null	22.3	770
086年04月20日	"台北二"	"青色"	null	12.0	1146
086年04月20日	"台北一"	"青色"	null	18.0	2558
086年04月20日	"永靖鄉"	"青色"	null	42.0	192
086年04月20日	"南投市"	"青色"	null	16.0	292
086年04月20日	"高雄市"	"青色"	null	20.0	250
086年04月20日	"台北一"	"紅色"	null	24.0	323
086年04月21日	"台北二"	"白色"	null	12.0	650
086年04月21日	"台北一"	"白色"	null	18.0	10053
086年04月21日	"台中市"	"白色"	null	14.1	785
086年04月21日	"高雄市"	"白色"	null	24.8	481
086年04月21日	"屏東市"	"白色"	null	19.1	1120
086年04月21日	"台北二"	"青色"	null	12.0	1111
086年04月21日	"台北一"	"青色"	null	18.0	2352
086年04月21日	"永靖鄉"	"青色"	null	33.5	657
086年04月21日	"南投市"	"青色"	null	15.0	372
086年04月21日	"高雄市"	"青色"	null	20.0	230
086年04月21日	"台北一"	"紅色"	null	24.0	464
086年04月22日	"台北二"	"白色"	null	12.0	1120
086年04月22日	"台北一"	"白色"	null	18.0	7943
086年04月22日	"台中市"	"白色"	null	16.3	669
086年04月22日	"高雄市"	"白色"	null	25.0	90
086年04月22日	"屏東市"	"白色"	null	18.8	2420
086年04月22日	"台北二"	"青色"	null	13.9	521
086年04月22日	"台北一"	"青色"	null	18.0	1852
086年04月22日	"南投市"	"青色"	null	17.0	225
086年04月22日	"高雄市"	"青色"	null	22.9	550
086年04月22日	"花蓮市"	"青色"	null	15.0	181
086年04月22日	"台北二"	"紅色"	null	15.0	90
086年04月22日	"台北一"	"紅色"	null	24.0	540
086年04月23日	"永靖鄉"	"青色"	null	32.0	632
086年04月24日	"台北二"	"白色"	null	11.2	1826
086年04月24日	"台北一"	"白色"	null	18.0	9987
086年04月24日	"台中市"	"白色"	null	14.4	814
086年04月24日	"高雄市"	"白色"	null	10.0	50
086年04月24日	"屏東市"	"白色"	null	19.3	2200
086年04月24日	"台北二"	"青色"	null	12.0	706
086年04月24日	"台北一"	"青色"	null	18.0	3055
086年04月24日	"永靖鄉"	"青色"	null	33.0	1236
086年04月24日	"南投市"	"青色"	null	22.0	306
086年04月24日	"高雄市"	"青色"	null	23.7	605
086年04月24日	"台東市"	"青色"	null	23.0	524
086年04月24日	"台北一"	"紅色"	null	24.0	331
086年04月25日	"台北二"	"白色"	null	12.0	621
086年04月25日	"台北一"	"白色"	null	18.0	6319
086年04月25日	"台中市"	"白色"	null	17.5	378
086年04月25日	"高雄市"	"白色"	null	10.0	105
086年04月25日	"屏東市"	"白色"	null	19.3	1870
086年04月25日	"花蓮市"	"白色"	null	11.0	90
086年04月25日	"台北二"	"青色"	null	12.0	531
086年04月25日	"台北一"	"青色"	null	18.0	1318
086年04月25日	"永靖鄉"	"青色"	null	33.5	282
086年04月25日	"高雄市"	"青色"	null	23.6	550
086年04月25日	"台東市"	"青色"	null	23.0	618
086年04月25日	"台北一"	"紅色"	null	24.0	236
086年04月26日	"台北二"	"白色"	null	12.0	894
086年04月26日	"台北一"	"白色"	null	18.0	4627
086年04月26日	"台中市"	"白色"	null	16.8	405
086年04月26日	"屏東市"	"白色"	null	17.0	2070
086年04月26日	"台北二"	"青色"	null	12.0	560
086年04月26日	"台北一"	"青色"	null	18.0	1494
086年04月26日	"永靖鄉"	"青色"	null	35.5	547
086年04月26日	"南投市"	"青色"	null	24.0	242
086年04月26日	"高雄市"	"青色"	null	22.6	700
086年04月26日	"台東市"	"青色"	null	23.0	704
086年04月26日	"台北一"	"紅色"	null	24.0	687
086年04月27日	"台北二"	"白色"	null	12.0	920
086年04月27日	"台北一"	"白色"	null	18.0	6459
086年04月27日	"台中市"	"白色"	null	13.6	611
086年04月27日	"高雄市"	"白色"	null	18.2	336
086年04月27日	"屏東市"	"白色"	null	16.7	2500
086年04月27日	"台北二"	"青色"	null	12.0	245
086年04月27日	"台北一"	"青色"	null	18.0	1237
086年04月27日	"永靖鄉"	"青色"	null	37.0	640
086年04月27日	"南投市"	"青色"	null	28.0	156
086年04月27日	"高雄市"	"青色"	null	25.4	630
086年04月27日	"台東市"	"青色"	null	23.0	726
086年04月27日	"台北一"	"紅色"	null	24.0	325
086年04月28日	"台北二"	"白色"	null	12.0	712
086年04月28日	"台北一"	"白色"	null	18.0	6356
086年04月28日	"台中市"	"白色"	null	17.0	692
086年04月28日	"屏東市"	"白色"	null	19.0	2120
086年04月28日	"台北二"	"青色"	null	12.0	408
086年04月28日	"台北一"	"青色"	null	18.0	1075
086年04月28日	"永靖鄉"	"青色"	null	36.0	1287
086年04月28日	"高雄市"	"青色"	null	24.8	610
086年04月28日	"台東市"	"青色"	null	23.0	489
086年04月28日	"台北一"	"紅色"	null	24.0	260
086年04月29日	"台北二"	"白色"	null	15.0	1187
086年04月29日	"台北一"	"白色"	null	18.0	7533
086年04月29日	"台中市"	"白色"	null	17.7	686
086年04月29日	"高雄市"	"白色"	null	27.1	150
086年04月29日	"屏東市"	"白色"	null	15.4	1860
086年04月29日	"台北二"	"青色"	null	15.0	236
086年04月29日	"台北一"	"青色"	null	18.0	576
086年04月29日	"永靖鄉"	"青色"	null	33.5	1067
086年04月29日	"南投市"	"青色"	null	18.0	360
086年04月29日	"高雄市"	"青色"	null	25.0	500
086年04月29日	"台東市"	"青色"	null	23.0	503
086年04月29日	"台北一"	"紅色"	null	24.0	335
086年04月30日	"台北二"	"白色"	null	10.0	1947
086年04月30日	"台北一"	"白色"	null	14.0	10256
086年04月30日	"台中市"	"白色"	null	16.4	651
086年04月30日	"高雄市"	"白色"	null	18.7	412
086年04月30日	"屏東市"	"白色"	null	18.8	2450
086年04月30日	"台北二"	"青色"	null	8.0	218
086年04月30日	"台北一"	"青色"	null	14.0	579
086年04月30日	"永靖鄉"	"青色"	null	32.0	2011
086年04月30日	"南投市"	"青色"	null	19.0	227
086年04月30日	"高雄市"	"青色"	null	23.8	550
086年04月30日	"台東市"	"青色"	null	23.0	586
086年04月30日	"台北一"	"紅色"	null	20.0	425
087年04月01日	"台北二"	"白色"	null	16.7	325
087年04月01日	"台北一"	"白色"	null	24.0	7197
087年04月01日	"台中市"	"白色"	null	19.2	364
087年04月01日	"高雄市"	"白色"	null	40.0	100
087年04月01日	"屏東市"	"白色"	null	28.7	2020
087年04月01日	"台北二"	"青色"	null	7.0	150
087年04月01日	"台北一"	"青色"	null	24.0	2134
087年04月01日	"高雄市"	"青色"	null	37.6	280
087年04月02日	"台北二"	"白色"	null	15.7	150
087年04月02日	"台北一"	"白色"	null	20.0	6753
087年04月02日	"台中市"	"白色"	null	26.6	616
087年04月02日	"高雄市"	"白色"	null	40.0	100
087年04月02日	"屏東市"	"白色"	null	29.4	2040
087年04月02日	"台北二"	"青色"	null	12.0	18
087年04月02日	"台北一"	"青色"	null	20.0	1260
087年04月02日	"高雄市"	"青色"	null	50.5	230
087年04月03日	"台北二"	"白色"	null	19.6	185
087年04月03日	"台北一"	"白色"	null	20.0	5243
087年04月03日	"台中市"	"白色"	null	26.5	619
087年04月03日	"高雄市"	"白色"	null	50.0	100
087年04月03日	"屏東市"	"白色"	null	30.7	2520
087年04月03日	"台北二"	"青色"	null	17.1	134
087年04月03日	"台北一"	"青色"	null	20.0	863
087年04月03日	"高雄市"	"青色"	null	41.7	200
087年04月04日	"台北二"	"白色"	null	22.6	203
087年04月04日	"台北一"	"白色"	null	20.0	6763
087年04月04日	"台中市"	"白色"	null	29.5	362
087年04月04日	"高雄市"	"白色"	null	50.0	220
087年04月04日	"屏東市"	"白色"	null	30.7	2490
087年04月04日	"台北二"	"青色"	null	30.0	46
087年04月04日	"台北一"	"青色"	null	20.0	592
087年04月04日	"高雄市"	"青色"	null	40.0	80
087年04月05日	"台中市"	"白色"	null	19.1	578
087年04月05日	"屏東市"	"白色"	null	25.4	2920
087年04月05日	"高雄市"	"青色"	null	36.3	200
087年04月06日	"屏東市"	"白色"	null	26.4	2590
087年04月07日	"台北二"	"白色"	null	20.0	370
087年04月07日	"台北一"	"白色"	null	17.0	8740
087年04月07日	"台中市"	"白色"	null	27.3	618
087年04月07日	"屏東市"	"白色"	null	26.0	2250
087年04月07日	"台北二"	"青色"	null	15.3	292
087年04月07日	"台北一"	"青色"	null	17.0	1416
087年04月07日	"台北一"	"紅色"	null	30.0	32
087年04月08日	"台北二"	"白色"	null	16.1	266
087年04月08日	"台北一"	"白色"	null	19.0	5429
087年04月08日	"台中市"	"白色"	null	24.8	472
087年04月08日	"高雄市"	"白色"	null	40.0	150
087年04月08日	"屏東市"	"白色"	null	22.9	2920
087年04月08日	"台北二"	"青色"	null	22.0	63
087年04月08日	"台北一"	"青色"	null	19.0	930
087年04月08日	"南投市"	"青色"	null	24.0	245
087年04月08日	"高雄市"	"青色"	null	43.3	250
087年04月09日	"台北二"	"白色"	null	18.6	312
087年04月09日	"台北一"	"白色"	null	20.0	6638
087年04月09日	"台中市"	"白色"	null	22.2	568
087年04月09日	"高雄市"	"白色"	null	35.0	150
087年04月09日	"屏東市"	"白色"	null	18.6	2710
087年04月09日	"台北二"	"青色"	null	20.0	67
087年04月09日	"台北一"	"青色"	null	20.0	750
087年04月09日	"南投市"	"青色"	null	34.0	214
087年04月09日	"高雄市"	"青色"	null	39.6	220
087年04月09日	"台北二"	"紅色"	null	20.0	72
087年04月09日	"台北一"	"紅色"	null	28.0	25
087年04月10日	"台北二"	"白色"	null	17.4	261
087年04月10日	"台北一"	"白色"	null	17.0	6403
087年04月10日	"台中市"	"白色"	null	22.3	604
087年04月10日	"高雄市"	"白色"	null	35.0	100
087年04月10日	"屏東市"	"白色"	null	25.0	6290
087年04月10日	"台北二"	"青色"	null	23.0	50
087年04月10日	"台北一"	"青色"	null	17.0	1389
087年04月10日	"永靖鄉"	"青色"	null	39.0	35
087年04月10日	"高雄市"	"青色"	null	39.6	220
087年04月10日	"台東市"	"青色"	null	37.0	398
087年04月10日	"台北一"	"紅色"	null	25.0	115
087年04月11日	"台北二"	"白色"	null	18.9	420
087年04月11日	"台北一"	"白色"	null	17.0	7557
087年04月11日	"台中市"	"白色"	null	19.5	762
087年04月11日	"高雄市"	"白色"	null	30.0	200
087年04月11日	"屏東市"	"白色"	null	25.3	2570
087年04月11日	"台北二"	"青色"	null	15.9	89
087年04月11日	"台北一"	"青色"	null	17.0	2129
087年04月11日	"永靖鄉"	"青色"	null	40.0	92
087年04月11日	"南投市"	"青色"	null	23.0	306
087年04月11日	"高雄市"	"青色"	null	42.2	300
087年04月11日	"台東市"	"青色"	null	37.0	450
087年04月11日	"台北一"	"紅色"	null	19.8	77
087年04月12日	"台北二"	"白色"	null	13.8	335
087年04月12日	"台北一"	"白色"	null	17.0	8095
087年04月12日	"台中市"	"白色"	null	21.3	812
087年04月12日	"屏東市"	"白色"	null	21.6	2730
087年04月12日	"台北二"	"青色"	null	19.6	260
087年04月12日	"台北一"	"青色"	null	16.0	2008
087年04月12日	"高雄市"	"青色"	null	40.8	400
087年04月12日	"台東市"	"青色"	null	37.0	492
087年04月12日	"台北一"	"紅色"	null	25.4	197
087年04月13日	"永靖鄉"	"青色"	null	37.5	366
087年04月14日	"台北二"	"白色"	null	8.1	547
087年04月14日	"台北一"	"白色"	null	16.0	9441
087年04月14日	"台中市"	"白色"	null	17.3	868
087年04月14日	"屏東市"	"白色"	null	20.0	2900
087年04月14日	"台北一"	"青色"	null	16.0	2687
087年04月14日	"永靖鄉"	"青色"	null	37.0	148
087年04月14日	"南投市"	"青色"	null	23.0	264
087年04月14日	"高雄市"	"青色"	null	31.9	400
087年04月14日	"台東市"	"青色"	null	33.0	375
087年04月14日	"台北一"	"紅色"	null	23.2	275
087年04月15日	"台北二"	"白色"	null	13.5	112
087年04月15日	"台北一"	"白色"	null	16.0	5124
087年04月15日	"台中市"	"白色"	null	20.4	334
087年04月15日	"高雄市"	"白色"	null	20.0	100
087年04月15日	"屏東市"	"白色"	null	26.3	2550
087年04月15日	"台北二"	"青色"	null	12.0	495
