date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"白頭"	null	20.4	829
085年04月01日	"台北一"	"白頭"	null	17.0	9514
085年04月01日	"台中市"	"白頭"	null	16.6	30
085年04月01日	"西螺鎮"	"白頭"	null	9.1	2530
085年04月01日	"高雄市"	"白頭"	null	20.0	2670
085年04月01日	"花蓮市"	"白頭"	null	10.0	2210
085年04月02日	"台北二"	"白頭"	null	17.5	1135
085年04月02日	"台北一"	"白頭"	null	13.0	11110
085年04月02日	"台中市"	"白頭"	null	16.6	19.5
085年04月02日	"西螺鎮"	"白頭"	null	9.1	2564
085年04月02日	"高雄市"	"白頭"	null	24.0	1720
085年04月02日	"台東市"	"白頭"	null	27.0	405
085年04月02日	"花蓮市"	"白頭"	null	12.0	298
085年04月03日	"台北二"	"白頭"	null	70.0	1013
085年04月03日	"台北一"	"白頭"	null	15.0	12434
085年04月03日	"台中市"	"白頭"	null	16.6	22.5
085年04月03日	"西螺鎮"	"白頭"	null	9.0	2514
085年04月03日	"高雄市"	"白頭"	null	21.0	1840
085年04月03日	"鳳山區"	"白頭"	null	29.4	500
085年04月03日	"台東市"	"白頭"	null	27.0	452
085年04月03日	"花蓮市"	"白頭"	null	14.0	303
085年04月04日	"台中市"	"白頭"	null	16.6	60
085年04月04日	"高雄市"	"白頭"	null	22.0	2370
085年04月04日	"台東市"	"白頭"	null	33.0	534
085年04月05日	"西螺鎮"	"白頭"	null	9.0	2655
085年04月06日	"台北二"	"白頭"	null	23.2	987
085年04月06日	"台北一"	"白頭"	null	14.0	9576
085年04月06日	"西螺鎮"	"白頭"	null	9.0	2526
085年04月06日	"花蓮市"	"白頭"	null	17.0	151
085年04月07日	"台北二"	"白頭"	null	26.0	1013
085年04月07日	"台北一"	"白頭"	null	14.0	10276
085年04月07日	"台中市"	"白頭"	null	16.6	28.5
085年04月07日	"西螺鎮"	"白頭"	null	9.0	2514
085年04月07日	"高雄市"	"白頭"	null	22.0	1950
085年04月07日	"花蓮市"	"白頭"	null	17.0	464
085年04月08日	"台北二"	"白頭"	null	26.1	1255
085年04月08日	"台北一"	"白頭"	null	17.0	9882
085年04月08日	"台中市"	"白頭"	null	16.6	16.5
085年04月08日	"西螺鎮"	"白頭"	null	9.1	2610
085年04月08日	"高雄市"	"白頭"	null	22.0	3536
085年04月08日	"台東市"	"白頭"	null	33.0	752
085年04月08日	"花蓮市"	"白頭"	null	15.0	228
085年04月09日	"台北二"	"白頭"	null	90.0	1607
085年04月09日	"台北一"	"白頭"	null	15.0	10918
085年04月09日	"台中市"	"白頭"	null	16.6	15
085年04月09日	"西螺鎮"	"白頭"	null	9.2	2612
085年04月09日	"高雄市"	"白頭"	null	22.0	1820
085年04月09日	"台東市"	"白頭"	null	33.0	375
085年04月09日	"花蓮市"	"白頭"	null	12.0	358
085年04月10日	"台北二"	"白頭"	null	25.0	817
085年04月10日	"台北一"	"白頭"	null	16.0	10880
085年04月10日	"台中市"	"白頭"	null	16.6	13.5
085年04月10日	"西螺鎮"	"白頭"	null	9.0	2511
085年04月10日	"高雄市"	"白頭"	null	22.0	1790
085年04月10日	"台東市"	"白頭"	null	33.0	352
085年04月10日	"花蓮市"	"白頭"	null	13.0	320
085年04月11日	"台北二"	"白頭"	null	20.0	979
085年04月11日	"台北一"	"白頭"	null	20.0	11020
085年04月11日	"台中市"	"白頭"	null	16.6	12
085年04月11日	"西螺鎮"	"白頭"	null	9.2	2616
085年04月11日	"高雄市"	"白頭"	null	24.0	1690
085年04月11日	"台東市"	"白頭"	null	33.0	518
085年04月11日	"花蓮市"	"白頭"	null	13.0	376
085年04月12日	"西螺鎮"	"白頭"	null	9.0	2490
085年04月12日	"高雄市"	"白頭"	null	22.0	1840
085年04月13日	"台北一"	"白頭"	null	20.0	10953
085年04月13日	"台中市"	"白頭"	null	16.6	18
085年04月13日	"西螺鎮"	"白頭"	null	9.3	2666
085年04月13日	"高雄市"	"白頭"	null	20.0	1770
085年04月13日	"鳳山區"	"白頭"	null	25.0	940
085年04月13日	"花蓮市"	"白頭"	null	11.0	442
085年04月14日	"台北一"	"白頭"	null	19.0	10695
085年04月14日	"台中市"	"白頭"	null	16.6	15
085年04月14日	"西螺鎮"	"白頭"	null	9.1	2565
085年04月14日	"高雄市"	"白頭"	null	22.0	1800
085年04月14日	"花蓮市"	"白頭"	null	10.0	364
085年04月15日	"台北二"	"白頭"	null	28.0	795
085年04月15日	"台北一"	"白頭"	null	24.0	10624
085年04月15日	"台中市"	"白頭"	null	16.6	13.5
085年04月15日	"西螺鎮"	"白頭"	null	9.6	3030
085年04月15日	"高雄市"	"白頭"	null	22.0	1840
085年04月15日	"台東市"	"白頭"	null	33.0	427
085年04月15日	"花蓮市"	"白頭"	null	8.0	394
085年04月16日	"台北二"	"白頭"	null	25.9	948
085年04月16日	"台北一"	"白頭"	null	22.0	10454
085年04月16日	"台中市"	"白頭"	null	14.2	102
085年04月16日	"西螺鎮"	"白頭"	null	9.3	2684
085年04月16日	"高雄市"	"白頭"	null	22.0	1860
085年04月16日	"台東市"	"白頭"	null	33.0	315
085年04月16日	"花蓮市"	"白頭"	null	8.0	505
085年04月17日	"台北二"	"白頭"	null	0.0	1013
085年04月17日	"台北一"	"白頭"	null	20.0	10569
085年04月17日	"台中市"	"白頭"	null	13.4	34.5
085年04月17日	"西螺鎮"	"白頭"	null	9.3	2865
085年04月17日	"高雄市"	"白頭"	null	23.0	1495
085年04月17日	"台東市"	"白頭"	null	30.0	427
085年04月17日	"花蓮市"	"白頭"	null	9.0	295
085年04月18日	"台北二"	"白頭"	null	21.8	873
085年04月18日	"台北一"	"白頭"	null	20.0	10210
085年04月18日	"台中市"	"白頭"	null	20.0	21
085年04月18日	"西螺鎮"	"白頭"	null	9.2	2775
085年04月18日	"高雄市"	"白頭"	null	21.0	1750
085年04月18日	"台東市"	"白頭"	null	30.0	349
085年04月18日	"花蓮市"	"白頭"	null	11.0	244
085年04月19日	"台北二"	"白頭"	null	32.0	963
085年04月19日	"台北一"	"白頭"	null	21.0	11920
085年04月19日	"台中市"	"白頭"	null	20.0	22.5
085年04月19日	"高雄市"	"白頭"	null	21.0	2605
085年04月19日	"花蓮市"	"白頭"	null	13.0	329
085年04月20日	"西螺鎮"	"白頭"	null	9.3	2875
085年04月21日	"台北二"	"白頭"	null	0.0	649
085年04月21日	"台北一"	"白頭"	null	30.0	11039
085年04月21日	"台中市"	"白頭"	null	20.0	22.5
085年04月21日	"西螺鎮"	"白頭"	null	9.2	2834
085年04月21日	"高雄市"	"白頭"	null	21.0	2080
085年04月22日	"台北二"	"白頭"	null	27.0	1229
085年04月22日	"台北一"	"白頭"	null	24.0	11534
085年04月22日	"台中市"	"白頭"	null	20.0	24
085年04月22日	"西螺鎮"	"白頭"	null	9.0	2664
085年04月22日	"高雄市"	"白頭"	null	22.0	1790
085年04月22日	"花蓮市"	"白頭"	null	17.0	250
085年04月23日	"台北二"	"白頭"	null	19.5	1257
085年04月23日	"台北一"	"白頭"	null	20.0	11393
085年04月23日	"台中市"	"白頭"	null	20.0	1.5
085年04月23日	"西螺鎮"	"白頭"	null	9.0	2664
085年04月23日	"高雄市"	"白頭"	null	21.0	1840
085年04月23日	"花蓮市"	"白頭"	null	19.0	241
085年04月24日	"台北二"	"白頭"	null	30.0	1081
085年04月24日	"台北一"	"白頭"	null	20.0	11456
085年04月24日	"台中市"	"白頭"	null	20.0	9
085年04月24日	"西螺鎮"	"白頭"	null	9.0	2630
085年04月24日	"高雄市"	"白頭"	null	21.0	1880
085年04月24日	"花蓮市"	"白頭"	null	18.0	303
085年04月25日	"台北二"	"白頭"	null	20.0	1257
085年04月25日	"台北一"	"白頭"	null	18.0	10904
085年04月25日	"台中市"	"白頭"	null	20.0	9
085年04月25日	"西螺鎮"	"白頭"	null	9.2	3001
085年04月25日	"高雄市"	"白頭"	null	21.0	1840
085年04月25日	"花蓮市"	"白頭"	null	18.0	277
085年04月26日	"台北二"	"白頭"	null	22.1	1254
085年04月26日	"台北一"	"白頭"	null	25.0	11736
085年04月26日	"台中市"	"白頭"	null	30.0	18
085年04月26日	"西螺鎮"	"白頭"	null	9.0	2805
085年04月26日	"高雄市"	"白頭"	null	22.0	1885
085年04月26日	"花蓮市"	"白頭"	null	16.0	298
085年04月27日	"台中市"	"白頭"	null	30.0	12
085年04月27日	"西螺鎮"	"白頭"	null	9.4	3089
085年04月27日	"高雄市"	"白頭"	null	22.0	1880
085年04月28日	"台北二"	"白頭"	null	23.7	881
085年04月28日	"台北一"	"白頭"	null	22.0	11104
085年04月28日	"台中市"	"白頭"	null	16.6	15
085年04月28日	"西螺鎮"	"白頭"	null	9.0	2625
085年04月28日	"高雄市"	"白頭"	null	22.0	1860
085年04月28日	"花蓮市"	"白頭"	null	14.0	282
085年04月29日	"台北二"	"白頭"	null	23.0	1249
085年04月29日	"台北一"	"白頭"	null	23.0	10978
085年04月29日	"台中市"	"白頭"	null	20.0	7.5
085年04月29日	"西螺鎮"	"白頭"	null	9.2	2791
085年04月29日	"高雄市"	"白頭"	null	22.0	1910
085年04月29日	"花蓮市"	"白頭"	null	15.0	438
085年04月30日	"台北二"	"白頭"	null	20.3	593
085年04月30日	"台北一"	"白頭"	null	16.0	11062
085年04月30日	"台中市"	"白頭"	null	18.6	36
085年04月30日	"西螺鎮"	"白頭"	null	9.1	3105
085年04月30日	"高雄市"	"白頭"	null	23.0	1500
085年04月30日	"花蓮市"	"白頭"	null	12.0	398
086年04月01日	"台北二"	"白頭"	null	13.0	1029
086年04月01日	"台北一"	"白頭"	null	15.0	9656
086年04月01日	"台中市"	"白頭"	null	16.7	45
086年04月01日	"西螺鎮"	"白頭"	null	13.1	8070
086年04月01日	"高雄市"	"白頭"	null	17.7	2544
086年04月01日	"台東市"	"白頭"	null	30.0	399
086年04月01日	"花蓮市"	"白頭"	null	13.0	390
086年04月02日	"台北二"	"白頭"	null	0.0	1101
086年04月02日	"台北一"	"白頭"	null	14.0	9658
086年04月02日	"台中市"	"白頭"	null	12.5	50
086年04月02日	"西螺鎮"	"白頭"	null	13.6	8160
086年04月02日	"高雄市"	"白頭"	null	20.9	1680
086年04月02日	"台東市"	"白頭"	null	30.0	156
086年04月03日	"台北二"	"白頭"	null	12.6	927
086年04月03日	"台北一"	"白頭"	null	13.0	8970
086年04月03日	"台中市"	"白頭"	null	16.6	45
086年04月03日	"西螺鎮"	"白頭"	null	13.0	7545
086年04月03日	"高雄市"	"白頭"	null	21.1	1700
086年04月03日	"台東市"	"白頭"	null	30.0	674
086年04月03日	"花蓮市"	"白頭"	null	10.0	688
086年04月04日	"台北二"	"白頭"	null	26.8	865
086年04月04日	"台北一"	"白頭"	null	28.0	10234
086年04月04日	"台中市"	"白頭"	null	17.9	73.5
086年04月04日	"西螺鎮"	"白頭"	null	13.1	8280
086年04月04日	"高雄市"	"白頭"	null	20.5	1635
086年04月04日	"台東市"	"白頭"	null	30.0	534
086年04月04日	"花蓮市"	"白頭"	null	13.0	480
086年04月05日	"台中市"	"白頭"	null	16.6	30
086年04月05日	"高雄市"	"白頭"	null	20.3	1886
086年04月05日	"台東市"	"白頭"	null	30.0	985
086年04月06日	"西螺鎮"	"白頭"	null	14.1	8475
086年04月07日	"台北二"	"白頭"	null	25.0	533
086年04月07日	"台北一"	"白頭"	null	23.0	9588
086年04月07日	"台中市"	"白頭"	null	16.6	22.5
086年04月07日	"西螺鎮"	"白頭"	null	14.2	7650
086年04月07日	"花蓮市"	"白頭"	null	15.0	521
086年04月08日	"台北二"	"白頭"	null	25.0	721
086年04月08日	"台北一"	"白頭"	null	20.0	9988
086年04月08日	"台中市"	"白頭"	null	16.6	30
086年04月08日	"西螺鎮"	"白頭"	null	14.2	8160
086年04月08日	"高雄市"	"白頭"	null	20.5	1680
086年04月08日	"花蓮市"	"白頭"	null	12.0	387
086年04月09日	"台北二"	"白頭"	null	12.7	1005
086年04月09日	"台北一"	"白頭"	null	15.0	10000
086年04月09日	"台中市"	"白頭"	null	12.7	47
086年04月09日	"西螺鎮"	"白頭"	null	14.2	7710
086年04月09日	"高雄市"	"白頭"	null	20.0	1570
086年04月10日	"台北二"	"白頭"	null	8.6	975
086年04月10日	"台北一"	"白頭"	null	12.0	10900
086年04月10日	"台中市"	"白頭"	null	12.8	65.5
086年04月10日	"西螺鎮"	"白頭"	null	14.1	7860
086年04月10日	"高雄市"	"白頭"	null	20.2	1640
086年04月10日	"台東市"	"白頭"	null	30.0	735
086年04月10日	"花蓮市"	"白頭"	null	10.0	441
086年04月11日	"台北二"	"白頭"	null	7.1	716
086年04月11日	"台北一"	"白頭"	null	13.0	10412
086年04月11日	"台中市"	"白頭"	null	12.8	35
086年04月11日	"西螺鎮"	"白頭"	null	14.1	8190
086年04月11日	"高雄市"	"白頭"	null	20.5	1580
086年04月11日	"台東市"	"白頭"	null	30.0	367
086年04月11日	"花蓮市"	"白頭"	null	8.0	640
086年04月12日	"台北二"	"白頭"	null	11.7	713
086年04月12日	"台北一"	"白頭"	null	10.0	9754
086年04月12日	"西螺鎮"	"白頭"	null	14.2	8280
086年04月12日	"高雄市"	"白頭"	null	20.5	1630
086年04月12日	"台東市"	"白頭"	null	30.0	362
086年04月12日	"花蓮市"	"白頭"	null	5.0	663
086年04月13日	"台北二"	"白頭"	null	12.0	745
086年04月13日	"台北一"	"白頭"	null	13.0	9206
086年04月13日	"台中市"	"白頭"	null	100.0	7.5
086年04月13日	"西螺鎮"	"白頭"	null	14.2	8130
086年04月13日	"高雄市"	"白頭"	null	20.5	1578
086年04月13日	"台東市"	"白頭"	null	30.0	259
086年04月13日	"花蓮市"	"白頭"	null	3.0	863
086年04月14日	"台北二"	"白頭"	null	11.7	633
086年04月14日	"台北一"	"白頭"	null	12.0	9418
086年04月14日	"台中市"	"白頭"	null	12.5	38
086年04月14日	"西螺鎮"	"白頭"	null	14.2	7875
086年04月14日	"高雄市"	"白頭"	null	21.0	1598
086年04月14日	"台東市"	"白頭"	null	30.0	362
086年04月14日	"花蓮市"	"白頭"	null	6.0	331
086年04月15日	"台北二"	"白頭"	null	11.4	819
086年04月15日	"台北一"	"白頭"	null	9.0	10564
086年04月15日	"台中市"	"白頭"	null	20.0	30
086年04月15日	"西螺鎮"	"白頭"	null	14.2	8550
086年04月15日	"高雄市"	"白頭"	null	20.4	1687
086年04月15日	"台東市"	"白頭"	null	30.0	439
086年04月15日	"花蓮市"	"白頭"	null	6.0	393
086年04月16日	"西螺鎮"	"白頭"	null	14.2	7572
086年04月16日	"高雄市"	"白頭"	null	19.2	1796
086年04月17日	"台北二"	"白頭"	null	14.3	125
086年04月17日	"台北一"	"白頭"	null	11.0	8144
086年04月17日	"高雄市"	"白頭"	null	19.2	1756
086年04月17日	"台東市"	"白頭"	null	30.0	425
086年04月17日	"花蓮市"	"白頭"	null	6.0	630
086年04月18日	"台北二"	"白頭"	null	18.1	189
086年04月18日	"台北一"	"白頭"	null	11.0	8325
086年04月18日	"西螺鎮"	"白頭"	null	14.2	8160
086年04月18日	"高雄市"	"白頭"	null	19.3	1824
086年04月18日	"台東市"	"白頭"	null	30.0	385
086年04月18日	"花蓮市"	"白頭"	null	7.0	485
086年04月19日	"台北二"	"白頭"	null	16.7	440
086年04月19日	"台北一"	"白頭"	null	11.0	7778
086年04月19日	"台中市"	"白頭"	null	15.0	90
086年04月19日	"西螺鎮"	"白頭"	null	14.2	8190
086年04月19日	"高雄市"	"白頭"	null	19.4	1573
086年04月19日	"台東市"	"白頭"	null	30.0	367
086年04月19日	"花蓮市"	"白頭"	null	4.0	839
086年04月20日	"台北二"	"白頭"	null	13.9	117
086年04月20日	"台北一"	"白頭"	null	11.0	8366
086年04月20日	"西螺鎮"	"白頭"	null	14.2	8535
086年04月20日	"高雄市"	"白頭"	null	19.7	1464
086年04月20日	"台東市"	"白頭"	null	30.0	413
086年04月20日	"花蓮市"	"白頭"	null	4.0	565
086年04月21日	"台北二"	"白頭"	null	16.0	45
086年04月21日	"台北一"	"白頭"	null	13.0	8282
086年04月21日	"台中市"	"白頭"	null	20.0	45
086年04月21日	"西螺鎮"	"白頭"	null	14.2	8160
086年04月21日	"高雄市"	"白頭"	null	20.3	1484
086年04月21日	"台東市"	"白頭"	null	30.0	374
086年04月21日	"花蓮市"	"白頭"	null	6.0	379
086年04月22日	"台北二"	"白頭"	null	10.2	205
086年04月22日	"台北一"	"白頭"	null	20.0	9091
086年04月22日	"台中市"	"白頭"	null	20.0	45
086年04月22日	"高雄市"	"白頭"	null	20.2	1714
086年04月22日	"台東市"	"白頭"	null	30.0	651
086年04月22日	"花蓮市"	"白頭"	null	11.0	422
086年04月23日	"西螺鎮"	"白頭"	null	14.2	7965
086年04月24日	"台北二"	"白頭"	null	23.6	247
086年04月24日	"台北一"	"白頭"	null	15.0	9299
086年04月24日	"台中市"	"白頭"	null	30.0	61.2
086年04月24日	"西螺鎮"	"白頭"	null	14.2	8580
086年04月24日	"高雄市"	"白頭"	null	20.2	1618
086年04月24日	"台東市"	"白頭"	null	30.0	746
086年04月24日	"花蓮市"	"白頭"	null	10.0	368
086年04月25日	"台北二"	"白頭"	null	27.7	1210
086年04月25日	"台北一"	"白頭"	null	13.0	9041
086年04月25日	"台中市"	"白頭"	null	16.0	54
086年04月25日	"西螺鎮"	"白頭"	null	14.2	8172
086年04月25日	"高雄市"	"白頭"	null	20.0	1610
086年04月25日	"台東市"	"白頭"	null	30.0	396
086年04月25日	"花蓮市"	"白頭"	null	8.5	298
086年04月26日	"台北二"	"白頭"	null	22.8	955
086年04月26日	"台北一"	"白頭"	null	12.0	8778
086年04月26日	"台中市"	"白頭"	null	11.7	40
086年04月26日	"西螺鎮"	"白頭"	null	14.2	8100
086年04月26日	"高雄市"	"白頭"	null	20.0	1383
086年04月26日	"台東市"	"白頭"	null	30.0	416
086年04月26日	"花蓮市"	"白頭"	null	7.0	434
086年04月27日	"台北二"	"白頭"	null	16.4	1220
086年04月27日	"台北一"	"白頭"	null	13.0	8747
086年04月27日	"西螺鎮"	"白頭"	null	14.2	8481
086年04月27日	"高雄市"	"白頭"	null	19.6	1510
086年04月27日	"台東市"	"白頭"	null	30.0	384
086年04月27日	"花蓮市"	"白頭"	null	10.0	338
086年04月28日	"台北二"	"白頭"	null	20.0	1049
086年04月28日	"台北一"	"白頭"	null	13.0	8536
086年04月28日	"台中市"	"白頭"	null	30.0	10
086年04月28日	"西螺鎮"	"白頭"	null	15.0	8205
086年04月28日	"高雄市"	"白頭"	null	20.0	1510
086年04月28日	"台東市"	"白頭"	null	30.0	351
086年04月28日	"花蓮市"	"白頭"	null	10.0	270
086年04月29日	"台北二"	"白頭"	null	13.6	977
086年04月29日	"台北一"	"白頭"	null	9.0	8966
086年04月29日	"台中市"	"白頭"	null	12.1	262
086年04月29日	"西螺鎮"	"白頭"	null	15.2	7350
086年04月29日	"高雄市"	"白頭"	null	21.3	1564
086年04月29日	"台東市"	"白頭"	null	30.0	403
086年04月29日	"花蓮市"	"白頭"	null	10.0	381
086年04月30日	"台北二"	"白頭"	null	16.2	812
086年04月30日	"台北一"	"白頭"	null	11.0	9028
086年04月30日	"台中市"	"白頭"	null	18.9	41
086年04月30日	"西螺鎮"	"白頭"	null	15.2	7956
086年04月30日	"高雄市"	"白頭"	null	20.1	1620
086年04月30日	"台東市"	"白頭"	null	30.0	638
086年04月30日	"花蓮市"	"白頭"	null	11.0	216
087年04月01日	"台北二"	"白頭"	null	38.2	806
087年04月01日	"台北一"	"白頭"	null	32.0	8787
087年04月01日	"台中市"	"白頭"	null	10.7	194
087年04月01日	"西螺鎮"	"白頭"	null	19.8	9450
087年04月01日	"高雄市"	"白頭"	null	21.2	1850
087年04月01日	"台東市"	"白頭"	null	30.0	320
087年04月01日	"花蓮市"	"白頭"	null	24.0	197
087年04月02日	"台北二"	"白頭"	null	30.8	696
087年04月02日	"台北一"	"白頭"	null	25.0	8451
087年04月02日	"台中市"	"白頭"	null	10.0	120
087年04月02日	"西螺鎮"	"白頭"	null	19.8	7524
087年04月02日	"高雄市"	"白頭"	null	21.6	1848
087年04月02日	"台東市"	"白頭"	null	30.0	428
087年04月03日	"台北二"	"白頭"	null	24.2	788
087年04月03日	"台北一"	"白頭"	null	28.0	8624
087年04月03日	"西螺鎮"	"白頭"	null	19.8	8607
087年04月03日	"高雄市"	"白頭"	null	20.9	2038
087年04月03日	"台東市"	"白頭"	null	30.0	207
087年04月04日	"台北二"	"白頭"	null	34.9	752
087年04月04日	"台北一"	"白頭"	null	43.0	9284
087年04月04日	"西螺鎮"	"白頭"	null	19.8	8883
087年04月04日	"高雄市"	"白頭"	null	21.5	2055
087年04月04日	"台東市"	"白頭"	null	30.0	483
087年04月04日	"花蓮市"	"白頭"	null	24.0	485
087年04月05日	"台中市"	"白頭"	null	12.5	40
087年04月05日	"高雄市"	"白頭"	null	21.8	1355
087年04月05日	"台東市"	"白頭"	null	30.0	426
087年04月05日	"花蓮市"	"白頭"	null	26.0	120
087年04月06日	"西螺鎮"	"白頭"	null	19.6	9342
087年04月07日	"台北二"	"白頭"	null	40.0	878
087年04月07日	"台北一"	"白頭"	null	30.0	8789
087年04月07日	"台中市"	"白頭"	null	10.7	84
087年04月07日	"西螺鎮"	"白頭"	null	19.7	8337
087年04月08日	"台北二"	"白頭"	null	25.4	756
087年04月08日	"台北一"	"白頭"	null	18.0	9270
087年04月08日	"台中市"	"白頭"	null	10.0	80
087年04月08日	"西螺鎮"	"白頭"	null	19.7	7926
087年04月08日	"高雄市"	"白頭"	null	20.6	2045
087年04月08日	"花蓮市"	"白頭"	null	21.0	262
087年04月09日	"台北二"	"白頭"	null	27.9	848
087年04月09日	"台北一"	"白頭"	null	19.0	8972
087年04月09日	"西螺鎮"	"白頭"	null	19.6	7506
087年04月09日	"高雄市"	"白頭"	null	20.4	1650
087年04月10日	"台北二"	"白頭"	null	20.4	902
087年04月10日	"台北一"	"白頭"	null	17.0	8165
087年04月10日	"台中市"	"白頭"	null	10.0	100
087年04月10日	"西螺鎮"	"白頭"	null	19.7	7182
087年04月10日	"高雄市"	"白頭"	null	19.7	2655
087年04月10日	"台東市"	"白頭"	null	30.0	476
087年04月10日	"花蓮市"	"白頭"	null	20.0	249
087年04月11日	"台北二"	"白頭"	null	21.2	822
087年04月11日	"台北一"	"白頭"	null	20.0	8088
087年04月11日	"台中市"	"白頭"	null	10.1	104
087年04月11日	"西螺鎮"	"白頭"	null	19.7	7131
087年04月11日	"高雄市"	"白頭"	null	20.5	2350
087年04月11日	"台東市"	"白頭"	null	30.0	690
087年04月11日	"花蓮市"	"白頭"	null	10.0	388
087年04月12日	"台北二"	"白頭"	null	19.1	866
087年04月12日	"台北一"	"白頭"	null	24.0	8725
087年04月12日	"台中市"	"白頭"	null	10.0	120
087年04月12日	"高雄市"	"白頭"	null	17.9	3295
087年04月12日	"台東市"	"白頭"	null	30.0	715
087年04月12日	"花蓮市"	"白頭"	null	12.0	291
087年04月13日	"西螺鎮"	"白頭"	null	19.5	7389
087年04月14日	"台北二"	"白頭"	null	25.0	579
087年04月14日	"台北一"	"白頭"	null	24.0	8146
087年04月14日	"台中市"	"白頭"	null	11.0	100
087年04月14日	"西螺鎮"	"白頭"	null	19.7	7035
087年04月14日	"高雄市"	"白頭"	null	20.9	1765
087年04月14日	"台東市"	"白頭"	null	30.0	586
087年04月14日	"花蓮市"	"白頭"	null	8.0	482
087年04月15日	"台北二"	"白頭"	null	20.2	604
087年04月15日	"台北一"	"白頭"	null	22.0	8103
087年04月15日	"台中市"	"白頭"	null	10.0	176
087年04月15日	"西螺鎮"	"白頭"	null	19.7	6642
087年04月15日	"高雄市"	"白頭"	null	20.6	1905
087年04月15日	"台東市"	"白頭"	null	30.0	362
087年04月15日	"花蓮市"	"白頭"	null	13.0	175
087年04月16日	"台北二"	"白頭"	null	29.5	500
087年04月16日	"台北一"	"白頭"	null	21.0	8253
087年04月16日	"台中市"	"白頭"	null	10.5	102
087年04月16日	"西螺鎮"	"白頭"	null	19.8	7245
087年04月16日	"高雄市"	"白頭"	null	20.5	1920
087年04月16日	"台東市"	"白頭"	null	30.0	461
087年04月17日	"台北二"	"白頭"	null	28.2	764
087年04月17日	"台北一"	"白頭"	null	21.0	7858
087年04月17日	"台中市"	"白頭"	null	10.0	70
087年04月17日	"西螺鎮"	"白頭"	null	19.7	7113
087年04月17日	"高雄市"	"白頭"	null	21.4	1185
087年04月17日	"台東市"	"白頭"	null	30.0	275
087年04月17日	"花蓮市"	"白頭"	null	15.0	252
087年04月18日	"台北二"	"白頭"	null	24.2	753
087年04月18日	"台北一"	"白頭"	null	21.0	7563
087年04月18日	"台中市"	"白頭"	null	10.0	100
087年04月18日	"西螺鎮"	"白頭"	null	19.7	7020
087年04月18日	"高雄市"	"白頭"	null	21.5	1090
087年04月18日	"台東市"	"白頭"	null	30.0	307
087年04月19日	"台北二"	"白頭"	null	21.9	718
087年04月19日	"台北一"	"白頭"	null	28.3	7761
087年04月19日	"台中市"	"白頭"	null	7.5	10
087年04月19日	"西螺鎮"	"白頭"	null	19.7	6933
087年04月19日	"高雄市"	"白頭"	null	21.0	1805
087年04月19日	"台東市"	"白頭"	null	30.0	316
087年04月20日	"台北二"	"白頭"	null	24.6	810
087年04月20日	"台北一"	"白頭"	null	24.0	8544
087年04月20日	"台中市"	"白頭"	null	10.0	180
087年04月20日	"西螺鎮"	"白頭"	null	19.7	6783
087年04月20日	"高雄市"	"白頭"	null	20.6	1590
087年04月20日	"台東市"	"白頭"	null	30.0	326
087年04月20日	"花蓮市"	"白頭"	null	20.0	246
087年04月21日	"西螺鎮"	"白頭"	null	19.6	7245
087年04月21日	"高雄市"	"白頭"	null	21.5	1130
087年04月22日	"台北二"	"白頭"	null	20.6	600
087年04月22日	"台北一"	"白頭"	null	20.0	9040
087年04月22日	"台中市"	"白頭"	null	10.0	160
087年04月22日	"西螺鎮"	"白頭"	null	19.8	6846
087年04月22日	"高雄市"	"白頭"	null	21.1	1650
087年04月23日	"台北二"	"白頭"	null	24.5	1210
087年04月23日	"台北一"	"白頭"	null	20.0	8149
087年04月23日	"台中市"	"白頭"	null	10.0	40
087年04月23日	"西螺鎮"	"白頭"	null	19.7	7311
087年04月23日	"高雄市"	"白頭"	null	21.4	1165
087年04月23日	"台東市"	"白頭"	null	30.0	506
087年04月24日	"台北二"	"白頭"	null	22.8	660
087年04月24日	"台北一"	"白頭"	null	21.1	8799
087年04月24日	"西螺鎮"	"白頭"	null	19.8	7662
087年04月24日	"高雄市"	"白頭"	null	16.9	3080
087年04月24日	"台東市"	"白頭"	null	30.0	487
087年04月24日	"花蓮市"	"白頭"	null	19.0	160
087年04月25日	"台北二"	"白頭"	null	23.2	704
087年04月25日	"台北一"	"白頭"	null	17.0	8923
087年04月25日	"西螺鎮"	"白頭"	null	19.8	6915
087年04月25日	"高雄市"	"白頭"	null	20.2	1810
087年04月25日	"台東市"	"白頭"	null	30.0	407
087年04月25日	"花蓮市"	"白頭"	null	14.0	164
087年04月26日	"台北二"	"白頭"	null	27.7	820
087年04月26日	"台北一"	"白頭"	null	17.0	8204
087年04月26日	"台中市"	"白頭"	null	30.0	380
087年04月26日	"西螺鎮"	"白頭"	null	19.8	7686
087年04月26日	"高雄市"	"白頭"	null	20.4	1635
087年04月26日	"台東市"	"白頭"	null	30.0	516
087年04月26日	"花蓮市"	"白頭"	null	17.0	218
087年04月27日	"台北二"	"白頭"	null	26.6	874
087年04月27日	"台北一"	"白頭"	null	23.2	8570
087年04月27日	"台中市"	"白頭"	null	13.0	132
087年04月27日	"高雄市"	"白頭"	null	21.3	1400
087年04月27日	"台東市"	"白頭"	null	30.0	613
087年04月27日	"花蓮市"	"白頭"	null	14.0	183
